ID,CPU_LOAD,MEMORY_LOAD,DELAY,ERROR_1000,ERROR_1001,ERROR_1002,ERROR_1003,ROOT_CAUSE
1,0,0,0,0,1,0,1,MEMORY
2,0,0,0,0,0,0,1,MEMORY
3,0,1,1,0,0,1,1,MEMORY
4,0,1,0,1,1,0,1,MEMORY
5,1,1,0,1,0,1,0,NETWORK_DELAY
6,0,0,1,1,0,0,0,NETWORK_DELAY
7,1,0,0,1,1,0,0,NETWORK_DELAY
8,0,0,0,1,1,0,1,DATABASE_ISSUE
9,0,1,0,0,1,0,1,MEMORY
10,0,0,0,1,1,0,1,NETWORK_DELAY
11,1,0,0,0,0,0,1,MEMORY
12,1,0,1,0,0,0,0,DATABASE_ISSUE
13,0,1,0,0,0,1,1,MEMORY
14,0,1,1,0,0,1,0,DATABASE_ISSUE
15,1,0,1,0,1,0,0,NETWORK_DELAY
16,1,0,0,0,1,0,1,MEMORY
17,0,1,0,0,0,1,1,MEMORY
18,0,1,0,1,0,0,1,MEMORY
19,0,1,1,0,0,1,0,NETWORK_DELAY
20,0,1,0,0,0,0,0,MEMORY
21,0,1,1,1,1,0,0,NETWORK_DELAY
22,1,0,0,0,0,0,0,MEMORY
23,1,1,0,0,1,0,1,MEMORY
24,0,1,1,0,0,0,1,MEMORY
25,0,0,1,1,1,0,0,NETWORK_DELAY
26,0,1,0,0,0,1,1,MEMORY
27,0,1,0,0,0,0,1,MEMORY
28,0,0,1,0,0,1,0,NETWORK_DELAY
29,0,0,1,1,0,1,0,NETWORK_DELAY
30,0,0,0,0,0,0,1,MEMORY
31,1,1,0,0,0,0,0,DATABASE_ISSUE
32,1,1,1,0,0,1,1,MEMORY
33,1,1,0,0,0,1,1,MEMORY
34,1,1,1,1,0,0,0,NETWORK_DELAY
35,0,0,0,0,0,0,1,MEMORY
36,1,0,0,1,1,1,1,DATABASE_ISSUE
37,0,1,1,0,0,0,1,MEMORY
38,1,0,1,0,0,1,0,DATABASE_ISSUE
